"OFFICE","YEAR","QUARTER","CATEGORY","YTD","AMOUNT"
"COMMUNICATIONS","FISCAL YEAR 2010","2010Q1","OTHER SERVICES","1,755.00","455.00"
"COMMUNICATIONS","FISCAL YEAR 2010","2010Q1","SUPPLIES AND MATERIALS","979.36","771.16"
"COMMUNICATIONS","FISCAL YEAR 2010","2010Q1","EQUIPMENT","33,815.32","33,767.32"
"OFFICE OF THE SPEAKER","FISCAL YEAR 2010","2010Q1","PERSONNEL COMPENSATION","447,067.08","226,102.50"
"OFFICE OF THE SPEAKER","FISCAL YEAR 2010","2010Q1","PERSONNEL COMPENSATION","1,857,385.12","952,771.16"
"OFFICE OF THE SPEAKER","FISCAL YEAR 2010","2010Q1","TRAVEL","22,625.61","15,461.56"
"OFFICE OF THE SPEAKER","FISCAL YEAR 2010","2010Q1","RENT, COMMUNICATION, UTILITIES","15,101.30","4,169.95"
"OFFICE OF THE SPEAKER","FISCAL YEAR 2010","2010Q1","PRINTING AND REPRODUCTION","8,881.38","3,780.21"
"OFFICE OF THE SPEAKER","FISCAL YEAR 2010","2010Q1","OTHER SERVICES","41,399.89","24,598.41"
"OFFICE OF THE SPEAKER","FISCAL YEAR 2010","2010Q1","SUPPLIES AND MATERIALS","83,018.59","32,419.04"
"OFFICE OF THE SPEAKER","FISCAL YEAR 2010","2010Q1","SUPPLIES AND MATERIALS","14,307.83","13,494.40"
"OFFICE OF THE MAJORITY LEADER","FISCAL YEAR 2010","2010Q1","PERSONNEL COMPENSATION","224,500.02","113,875.02"
"OFFICE OF THE MAJORITY LEADER","FISCAL YEAR 2010","2010Q1","PERSONNEL COMPENSATION","932,195.15","478,845.26"
"OFFICE OF THE MAJORITY LEADER","FISCAL YEAR 2010","2010Q1","TRAVEL","133.15","57.40"
"OFFICE OF THE MAJORITY LEADER","FISCAL YEAR 2010","2010Q1","RENT, COMMUNICATION, UTILITIES","157.30","72.80"
"OFFICE OF THE MAJORITY LEADER","FISCAL YEAR 2010","2010Q1","PRINTING AND REPRODUCTION","418.40","412.00"
"OFFICE OF THE MAJORITY LEADER","FISCAL YEAR 2010","2010Q1","OTHER SERVICES","286.47","63.66"
"OFFICE OF THE MAJORITY LEADER","FISCAL YEAR 2010","2010Q1","SUPPLIES AND MATERIALS","30,936.65","19,568.56"
"OFFICE OF THE MAJORITY LEADER","FISCAL YEAR 2010","2010Q1","PERSONNEL BENEFITS","4,999.98","2,499.99"
"OFFICE OF THE MINORITY LEADER","FISCAL YEAR 2010","2010Q1","PERSONNEL COMPENSATION","583,820.86","290,470.90"
"OFFICE OF THE MINORITY LEADER","FISCAL YEAR 2010","2010Q1","PERSONNEL COMPENSATION","866,204.89","439,257.44"
"OFFICE OF THE MINORITY LEADER","FISCAL YEAR 2010","2010Q1","TRAVEL","294.00","258.00"
"OFFICE OF THE MINORITY LEADER","FISCAL YEAR 2010","2010Q1","RENT, COMMUNICATION, UTILITIES","462.17","323.66"
"OFFICE OF THE MINORITY LEADER","FISCAL YEAR 2010","2010Q1","PRINTING AND REPRODUCTION","166.65","138.85"
"OFFICE OF THE MINORITY LEADER","FISCAL YEAR 2010","2010Q1","SUPPLIES AND MATERIALS","45,845.95","18,190.85"
"OFFICE OF THE MINORITY LEADER","FISCAL YEAR 2010","2010Q1","PERSONNEL BENEFITS","4,999.98","2,499.99"
"OFFICE OF THE MAJORITY WHIP","FISCAL YEAR 2010","2010Q1","PERSONNEL COMPENSATION","82,974.66","41,724.66"
"OFFICE OF THE MAJORITY WHIP","FISCAL YEAR 2010","2010Q1","PERSONNEL COMPENSATION","709,931.32","367,871.60"
"OFFICE OF THE MAJORITY WHIP","FISCAL YEAR 2010","2010Q1","TRAVEL","483.00","377.00"
"OFFICE OF THE MAJORITY WHIP","FISCAL YEAR 2010","2010Q1","RENT, COMMUNICATION, UTILITIES","391.72","265.68"
