"OFFICE","YEAR","QUARTER","CATEGORY","YTD","AMOUNT"
"OFFICE OF THE SPEAKER","2012","2012Q3","PERSONNEL BENEFITS","18,749.97","6,249.99"
"OFFICE OF THE SPEAKER","2012","2012Q3","FRANKED MAIL","0.00","-660.09"
"OFFICE OF THE SPEAKER","2012","2012Q3","PERSONNEL COMPENSATION","3,912,767.31","1,267,051.97"
"OFFICE OF THE SPEAKER","2012","2012Q3","TRAVEL","7,979.26","3,587.88"
"OFFICE OF THE SPEAKER","2012","2012Q3","RENT, COMMUNICATION, UTILITIES","231.18","0.00"
"OFFICE OF THE SPEAKER","2012","2012Q3","PRINTING AND REPRODUCTION","2,658.10","600.50"
"OFFICE OF THE SPEAKER","2012","2012Q3","OTHER SERVICES","7,155.50","990.00"
"OFFICE OF THE SPEAKER","2012","2012Q3","SUPPLIES AND MATERIALS","87,637.92","51,053.64"
"OFFICE OF THE MAJORITY LEADER","2012","2012Q3","FRANKED MAIL","0.00","-123.32"
"OFFICE OF THE MAJORITY LEADER","2012","2012Q3","PERSONNEL COMPENSATION","1,566,505.45","504,974.94"
"OFFICE OF THE MAJORITY LEADER","2012","2012Q3","TRAVEL","3,204.27","376.44"
"OFFICE OF THE MAJORITY LEADER","2012","2012Q3","RENT, COMMUNICATION, UTILITIES","1,222.26","0.00"
"OFFICE OF THE MAJORITY LEADER","2012","2012Q3","PRINTING AND REPRODUCTION","834.09","292.85"
"OFFICE OF THE MAJORITY LEADER","2012","2012Q3","OTHER SERVICES","5,136.82","3,557.71"
"OFFICE OF THE MAJORITY LEADER","2012","2012Q3","SUPPLIES AND MATERIALS","57,758.40","7,454.49"
"OFFICE OF THE MINORITY LEADER","2012","2012Q3","FRANKED MAIL","0.00","-201.99"
"OFFICE OF THE MINORITY LEADER","2012","2012Q3","PERSONNEL COMPENSATION","5,005,585.20","1,674,220.11"
"OFFICE OF THE MINORITY LEADER","2012","2012Q3","TRAVEL","101,663.13","29,875.00"
"OFFICE OF THE MINORITY LEADER","2012","2012Q3","RENT, COMMUNICATION, UTILITIES","1,713.50","463.70"
"OFFICE OF THE MINORITY LEADER","2012","2012Q3","PRINTING AND REPRODUCTION","6,473.06","2,149.88"
"OFFICE OF THE MINORITY LEADER","2012","2012Q3","OTHER SERVICES","83,428.75","32,012.00"
"OFFICE OF THE MINORITY LEADER","2012","2012Q3","SUPPLIES AND MATERIALS","91,497.60","28,974.05"
"OFFICE OF THE MAJORITY WHIP","2012","2012Q3","PERSONNEL COMPENSATION","1,264,541.68","426,575.00"
"OFFICE OF THE MAJORITY WHIP","2012","2012Q3","TRAVEL","2,295.53","2,295.53"
"OFFICE OF THE MAJORITY WHIP","2012","2012Q3","RENT, COMMUNICATION, UTILITIES","237.23","0.00"
"OFFICE OF THE MAJORITY WHIP","2012","2012Q3","PRINTING AND REPRODUCTION","732.34","700.34"
"OFFICE OF THE MAJORITY WHIP","2012","2012Q3","OTHER SERVICES","547.00","-3,000.00"
"OFFICE OF THE MAJORITY WHIP","2012","2012Q3","SUPPLIES AND MATERIALS","95,881.89","42,633.39"
"OFFICE OF THE MINORITY WHIP","2012","2012Q3","FRANKED MAIL","0.00","-23.88"
"OFFICE OF THE MINORITY WHIP","2012","2012Q3","PERSONNEL COMPENSATION","1,056,557.60","447,524.29"
"OFFICE OF THE MINORITY WHIP","2012","2012Q3","TRAVEL","1,212.62","794.07"
"OFFICE OF THE MINORITY WHIP","2012","2012Q3","RENT, COMMUNICATION, UTILITIES","509.85","-10.30"
"OFFICE OF THE MINORITY WHIP","2012","2012Q3","PRINTING AND REPRODUCTION","6,590.30","692.90"
"OFFICE OF THE MINORITY WHIP","2012","2012Q3","OTHER SERVICES","1,989.39","808.88"
"OFFICE OF THE MINORITY WHIP","2012","2012Q3","SUPPLIES AND MATERIALS","45,055.86","25,526.16"
"DEMOCRATIC CAUCUS","2012","2012Q3","FRANKED MAIL","0.00","-15.11"
"DEMOCRATIC CAUCUS","2012","2012Q3","PERSONNEL COMPENSATION","1,086,329.93","410,186.95"
"DEMOCRATIC CAUCUS","2012","2012Q3","TRAVEL","15,013.36","91.00"
"DEMOCRATIC CAUCUS","2012","2012Q3","PRINTING AND REPRODUCTION","269.83","191.03"
"DEMOCRATIC CAUCUS","2012","2012Q3","OTHER SERVICES","3,396.60","1,586.74"
"DEMOCRATIC CAUCUS","2012","2012Q3","SUPPLIES AND MATERIALS","40,581.50","-64,431.56"
