"OFFICE","YEAR","QUARTER","CATEGORY","YTD","AMOUNT"
"OFFICE OF THE SPEAKER","2013","2013Q1","PERSONNEL BENEFITS","6,249.99","6,249.99"
"OFFICE OF THE SPEAKER","2013","2013Q1","PERSONNEL COMPENSATION","1,320,154.06","1,320,154.06"
"OFFICE OF THE SPEAKER","2013","2013Q1","TRAVEL","435.24","435.24"
"OFFICE OF THE SPEAKER","2013","2013Q1","PRINTING AND REPRODUCTION","2,148.00","2,148.00"
"OFFICE OF THE SPEAKER","2013","2013Q1","SUPPLIES AND MATERIALS","9,323.76","9,323.76"
"OFFICE OF THE MAJORITY LEADER","2013","2013Q1","PERSONNEL COMPENSATION","463,425.41","463,425.41"
"OFFICE OF THE MAJORITY LEADER","2013","2013Q1","TRAVEL","340.93","340.93"
"OFFICE OF THE MAJORITY LEADER","2013","2013Q1","PRINTING AND REPRODUCTION","213.60","213.60"
"OFFICE OF THE MAJORITY LEADER","2013","2013Q1","SUPPLIES AND MATERIALS","3,446.21","3,446.21"
"OFFICE OF THE MINORITY LEADER","2013","2013Q1","SUPPLIES AND MATERIALS","1,324.22","1,324.22"
"OFFICE OF THE MINORITY LEADER","2013","2013Q1","PERSONNEL COMPENSATION","1,548,470.49","1,548,470.49"
"OFFICE OF THE MINORITY LEADER","2013","2013Q1","TRAVEL","7,677.03","7,677.03"
"OFFICE OF THE MINORITY LEADER","2013","2013Q1","RENT, COMMUNICATION, UTILITIES","150.32","150.32"
"OFFICE OF THE MINORITY LEADER","2013","2013Q1","PRINTING AND REPRODUCTION","2,378.05","2,378.05"
"OFFICE OF THE MINORITY LEADER","2013","2013Q1","OTHER SERVICES","16,006.00","16,006.00"
"OFFICE OF THE MINORITY LEADER","2013","2013Q1","SUPPLIES AND MATERIALS","74,236.95","74,236.95"
"OFFICE OF THE MAJORITY WHIP","2013","2013Q1","PERSONNEL COMPENSATION","365,408.34","365,408.34"
"OFFICE OF THE MAJORITY WHIP","2013","2013Q1","PRINTING AND REPRODUCTION","34.20","34.20"
"OFFICE OF THE MAJORITY WHIP","2013","2013Q1","SUPPLIES AND MATERIALS","11,878.59","11,878.59"
"OFFICE OF THE MINORITY WHIP","2013","2013Q1","PERSONNEL COMPENSATION","309,244.36","309,244.36"
"OFFICE OF THE MINORITY WHIP","2013","2013Q1","TRAVEL","110.00","110.00"
"OFFICE OF THE MINORITY WHIP","2013","2013Q1","SUPPLIES AND MATERIALS","377.61","377.61"
"DEMOCRATIC CAUCUS","2013","2013Q1","PERSONNEL COMPENSATION","263,538.28","263,538.28"
"DEMOCRATIC CAUCUS","2013","2013Q1","TRAVEL","50.00","50.00"
"DEMOCRATIC CAUCUS","2013","2013Q1","PRINTING AND REPRODUCTION","1,605.74","1,605.74"
"DEMOCRATIC CAUCUS","2013","2013Q1","OTHER SERVICES","300.00","300.00"
"DEMOCRATIC CAUCUS","2013","2013Q1","SUPPLIES AND MATERIALS","15,285.21","15,285.21"
"REPUBLICAN CONFERENCE","2013","2013Q1","PERSONNEL COMPENSATION","346,849.21","346,849.21"
"REPUBLICAN CONFERENCE","2013","2013Q1","TRAVEL","21.00","21.00"
"REPUBLICAN CONFERENCE","2013","2013Q1","RENT, COMMUNICATION, UTILITIES","4,000.00","4,000.00"
"REPUBLICAN CONFERENCE","2013","2013Q1","PRINTING AND REPRODUCTION","494.55","494.55"
"REPUBLICAN CONFERENCE","2013","2013Q1","OTHER SERVICES","38,980.95","38,980.95"
"REPUBLICAN CONFERENCE","2013","2013Q1","SUPPLIES AND MATERIALS","15,597.59","15,597.59"
"OFFICE OF THE SPEAKER","2013","2013Q1","SUPPLIES AND MATERIALS","14,373.38","14,373.38"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2013","2013Q1","EQUIPMENT","827,500.00","0.00"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2013","2013Q1","PERSONNEL COMPENSATION","29,464,591.99","14,987,381.51"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2013","2013Q1","OTHER SERVICES","3,403.26","1,752.00"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2013","2013Q1","SUPPLIES AND MATERIALS","62.92","-169.89"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2013","2013Q1","EQUIPMENT","3,069.18","1,534.59"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2013","2013Q1","OTHER SERVICES","146,569.92","109,531.92"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2013","2013Q1","SUPPLIES AND MATERIALS","19,918.15","19,690.32"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2013","2013Q1","EQUIPMENT","78,710.58","78,710.58"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2013","2013Q1","TRAVEL","31,422.41","22,341.39"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2013","2013Q1","RENT, COMMUNICATION, UTILITIES","454,266.32","276,842.68"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2013","2013Q1","PRINTING AND REPRODUCTION","10,910.85","3,086.52"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2013","2013Q1","OTHER SERVICES","175,705.23","131,588.05"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2013","2013Q1","SUPPLIES AND MATERIALS","504,367.96","164,441.33"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2013","2013Q1","EQUIPMENT","158,851.77","98,559.15"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2013","2013Q1","RENT, COMMUNICATION, UTILITIES","9,323.99","9,323.99"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2013","2013Q1","OTHER SERVICES","943,773.48","941,661.30"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2013","2013Q1","EQUIPMENT","57,733.25","31,286.36"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2013","2013Q1","RENT, COMMUNICATION, UTILITIES","119.04","119.04"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2013","2013Q1","PRINTING AND REPRODUCTION","1,420.00","0.00"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2013","2013Q1","OTHER SERVICES","3,470.00","582.00"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2013","2013Q1","SUPPLIES AND MATERIALS","1,600.00","0.00"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2013","2013Q1","EQUIPMENT","22,660.00","0.00"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2013","2013Q1","SUPPLIES AND MATERIALS","468.00","0.00"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2013","2013Q1","EQUIPMENT","116,609.28","83,812.56"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2013","2013Q1","EQUIPMENT","117,120.00","0.00"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2013","2013Q1","OTHER SERVICES","65,838.96","65,838.96"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2013","2013Q1","SUPPLIES AND MATERIALS","549.54","549.54"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2013","2013Q1","EQUIPMENT","530,296.18","191,412.83"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2013","2013Q1","OTHER SERVICES","298,200.00","0.00"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2013","2013Q1","EQUIPMENT","386,412.12","197,520.88"
