"OFFICE","YEAR","QUARTER","CATEGORY","YTD","AMOUNT"
"OFFICE OF THE SPEAKER","2014","2014Q3","PERSONNEL BENEFITS","18,749.97","6,249.99"
"OFFICE OF THE SPEAKER","2014","2014Q3","PERSONNEL COMPENSATION","4,271,532.94","1,509,413.26"
"OFFICE OF THE SPEAKER","2014","2014Q3","TRAVEL","9,622.60","2,552.03"
"OFFICE OF THE SPEAKER","2014","2014Q3","RENT, COMMUNICATION, UTILITIES","232.61","0.00"
"OFFICE OF THE SPEAKER","2014","2014Q3","PRINTING AND REPRODUCTION","3,181.90","1,239.20"
"OFFICE OF THE SPEAKER","2014","2014Q3","OTHER SERVICES","3,832.92","286.97"
"OFFICE OF THE SPEAKER","2014","2014Q3","SUPPLIES AND MATERIALS","99,894.97","25,290.78"
"OFFICE OF THE MAJORITY LEADER","2014","2014Q3","PERSONNEL COMPENSATION","1,555,664.92","523,422.21"
"OFFICE OF THE MAJORITY LEADER","2014","2014Q3","TRAVEL","1,948.04","522.14"
"OFFICE OF THE MAJORITY LEADER","2014","2014Q3","PRINTING AND REPRODUCTION","1,047.50","817.20"
"OFFICE OF THE MAJORITY LEADER","2014","2014Q3","OTHER SERVICES","1,114.30","43.00"
"OFFICE OF THE MAJORITY LEADER","2014","2014Q3","SUPPLIES AND MATERIALS","64,404.66","5,751.47"
"OFFICE OF THE MINORITY LEADER","2014","2014Q3","SUPPLIES AND MATERIALS","10,000.00","0.00"
"OFFICE OF THE MINORITY LEADER","2014","2014Q3","PERSONNEL COMPENSATION","4,703,033.38","1,556,927.17"
"OFFICE OF THE MINORITY LEADER","2014","2014Q3","TRAVEL","74,127.44","19,228.78"
"OFFICE OF THE MINORITY LEADER","2014","2014Q3","RENT, COMMUNICATION, UTILITIES","1,010.42","259.95"
"OFFICE OF THE MINORITY LEADER","2014","2014Q3","PRINTING AND REPRODUCTION","4,766.62","1,266.40"
"OFFICE OF THE MINORITY LEADER","2014","2014Q3","OTHER SERVICES","62,524.00","22,884.00"
