"OFFICE","YEAR","QUARTER","CATEGORY","YTD","AMOUNT"
"OFFICE OF THE SPEAKER","2013","2013Q4","PERSONNEL BENEFITS","18,749.97","0.00"
"OFFICE OF THE SPEAKER","2013","2013Q4","PERSONNEL COMPENSATION","4,141,945.70","0.00"
"OFFICE OF THE SPEAKER","2013","2013Q4","TRAVEL","4,784.75","190.00"
"OFFICE OF THE SPEAKER","2013","2013Q4","RENT, COMMUNICATION, UTILITIES","282.56","0.00"
"OFFICE OF THE SPEAKER","2013","2013Q4","PRINTING AND REPRODUCTION","3,759.02","0.00"
"OFFICE OF THE SPEAKER","2013","2013Q4","OTHER SERVICES","11,615.00","0.00"
"OFFICE OF THE SPEAKER","2013","2013Q4","SUPPLIES AND MATERIALS","129,096.18","5,564.64"
"OFFICE OF THE MAJORITY LEADER","2013","2013Q4","PERSONNEL COMPENSATION","1,451,769.79","0.00"
"OFFICE OF THE MAJORITY LEADER","2013","2013Q4","TRAVEL","2,202.72","598.39"
"OFFICE OF THE MAJORITY LEADER","2013","2013Q4","RENT, COMMUNICATION, UTILITIES","1,175.70","828.00"
"OFFICE OF THE MAJORITY LEADER","2013","2013Q4","PRINTING AND REPRODUCTION","533.76","0.00"
"OFFICE OF THE MAJORITY LEADER","2013","2013Q4","OTHER SERVICES","208.99","0.00"
"OFFICE OF THE MAJORITY LEADER","2013","2013Q4","SUPPLIES AND MATERIALS","59,822.46","3,625.07"
"OFFICE OF THE MINORITY LEADER","2013","2013Q4","SUPPLIES AND MATERIALS","7,189.22","0.00"
"OFFICE OF THE MINORITY LEADER","2013","2013Q4","PERSONNEL COMPENSATION","4,733,445.03","0.00"
"OFFICE OF THE MINORITY LEADER","2013","2013Q4","TRAVEL","92,255.19","11,782.57"
"OFFICE OF THE MINORITY LEADER","2013","2013Q4","RENT, COMMUNICATION, UTILITIES","1,974.78","101.09"
"OFFICE OF THE MINORITY LEADER","2013","2013Q4","PRINTING AND REPRODUCTION","9,013.43","307.81"
"OFFICE OF THE MINORITY LEADER","2013","2013Q4","OTHER SERVICES","76,175.96","0.00"
"OFFICE OF THE MINORITY LEADER","2013","2013Q4","SUPPLIES AND MATERIALS","168,428.88","15,908.32"
"OFFICE OF THE MAJORITY WHIP","2013","2013Q4","PERSONNEL COMPENSATION","1,204,200.01","0.00"
"OFFICE OF THE MAJORITY WHIP","2013","2013Q4","TRAVEL","53.00","0.00"
"OFFICE OF THE MAJORITY WHIP","2013","2013Q4","PRINTING AND REPRODUCTION","553.67","0.00"
"OFFICE OF THE MAJORITY WHIP","2013","2013Q4","SUPPLIES AND MATERIALS","62,453.23","1,560.70"
